Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Savvy Scouts,Data Science/Machine Learning,"Atlanta Central City Post Offi, GA",-1,$67 - $72 Per Hour(Employer est.),$16.55 /hr (est.),-1,-1,-1,-1,-1,-1
Toyota,"Analyst, Data Science","Plano, TX",3.9,-1,-1,10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
Nestria,Tech & Data Science Mentors,Remote,-1,$17 - $96 Per Hour(Employer est.),$13.47 /hr (est.),-1,-1,-1,-1,-1,-1
Liberty Mutual Insurance,"Assistant Director/Director, Data Science",Remote,3.8,$117K - $180K (Employer est.),"$148,250 /yr (est.)",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
REVOLVE,Data Science Analyst,"Cerritos, CA",3.1,-1,-1,201 to 500 Employees,2003,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable
Modern Agile Technologies,Data Scientist,"Lewisville, TX",-1,$63 - $67 Per Hour(Employer est.),$15.41 /hr (est.),-1,-1,-1,-1,-1,-1
Nova Collective,Data Analyst,"Chicago, IL",-1,$29 - $34 Per Hour(Employer est.),$7.42 /hr (est.),-1,-1,-1,-1,-1,-1
Mayo Clinic,Data Science Analyst - Obstetrics & Gynecology,"Rochester, MN",4.2,-1,-1,10000+ Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1
ManTech International Corporation,Data Science/Analytics - New Graduate,Remote,4.2,-1,-1,5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
Uber,Uber Eats - Data Science Leadership,"New York, NY",4.0,-1,-1,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD)
Liberty Mutual Insurance,"Analyst I/II, Data Science",Remote,3.8,$85K - $139K (Employer est.),"$112,000 /yr (est.)",10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
System Soft Technologies,Data Science Analyst,"Bellevue, WA",4.4,$48 - $53 Per Hour(Employer est.),$11.99 /hr (est.),201 to 500 Employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Environmental Risk Management Inc,Data Scientist,"Sunnyvale, CA",-1,$125K - $180K (Employer est.),"$152,500 /yr (est.)",-1,-1,-1,-1,-1,-1
Sanofi,Data Scientist,"Cambridge, MA",3.9,-1,-1,10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
FedEx Services,Data Scientist Advisor,"Brookfield, WI",4.1,$98K - $162K (Employer est.),"$129,665 /mo (est.)",10000+ Employees,2000,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$1 to $5 million (USD)
Ford Motor Company,Data Scientist,"Dearborn, MI",4.1,-1,-1,10000+ Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
TikTok,Data Scientist - Tiktok Ads Integrity,"Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Pacific Northwest National Laboratory,Post Doctorate RA - Data Science,"Richland, WA",4.2,-1,-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Massachusetts General Hospital(MGH),Data Scientist,"Boston, MA",4.1,-1,-1,10000+ Employees,1811,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
DLA Piper,Jr Data Scientist,"New York, NY",4.0,-1,-1,5001 to 10000 Employees,2005,Company - Private,Legal,Accounting & Legal,$2 to $5 billion (USD)
J.Crew,Director Advanced Analytics and Data Science,"New York, NY",3.8,-1,-1,10000+ Employees,1983,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD)
Costena Supermarket,"Machine Learning Engineer/Data Scientist/Software Engineer (Quants, ETFs)","Berkeley, CA",-1,$75K - $250K (Employer est.),"$162,500 /yr (est.)",-1,-1,-1,-1,-1,-1
Levi Strauss & Co.,Data Scientist,Remote,4.0,-1,-1,10000+ Employees,1853,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$2 to $5 billion (USD)
NBCUniversal,DreamWorks Technology - Data Analyst,"Glendale, CA",4.1,-1,-1,10000+ Employees,1906,Company - Public,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
